,2/18/2024 12:59,,,,,,total seonds
0,2/18/2024 12:59,-132466,12:00:14 AM,14,0,0,14
1,2/18/2024 13:01,-1242741,12:01:30 AM,30,1,60,90
2,2/18/2024 13:02,-1926615,12:00:55 AM,55,0,0,55
3,2/18/2024 13:04,-3319694,12:01:53 AM,53,1,60,113
4,2/18/2024 13:04,-3487767,12:00:14 AM,14,0,0,14
5,2/18/2024 13:05,-3990417,12:00:41 AM,41,0,0,41
6,2/18/2024 13:06,-4658362,12:00:55 AM,55,0,0,55
7,2/18/2024 13:06,-4675813,12:00:02 AM,2,0,0,2
8,2/18/2024 13:06,-4715061,12:00:04 AM,4,0,0,4
9,2/18/2024 13:06,-4766095,12:00:05 AM,5,0,0,5
10,2/18/2024 13:06,-4797389,12:00:03 AM,3,0,0,3
11,2/18/2024 13:06,-4836367,12:00:04 AM,4,0,0,4
12,2/18/2024 13:06,-5156699,12:00:27 AM,27,0,0,27
13,2/18/2024 13:06,-5164030,12:00:01 AM,1,0,0,1
14,2/18/2024 13:07,-6007647,12:01:09 AM,9,1,60,69
15,2/18/2024 13:08,-6234160,12:00:18 AM,18,0,0,18
16,2/18/2024 13:08,-6470194,12:00:20 AM,20,0,0,20
17,2/18/2024 13:09,-6906791,12:00:36 AM,36,0,0,36
18,2/18/2024 13:10,-7744661,12:01:08 AM,8,1,60,68
19,2/18/2024 13:10,-8071271,12:00:27 AM,27,0,0,27
20,2/18/2024 13:10,-8153227,12:00:07 AM,7,0,0,7
21,2/18/2024 13:11,-8915202,12:01:02 AM,2,1,60,62
22,2/18/2024 13:13,-9911468,12:01:22 AM,22,1,60,82
23,2/18/2024 13:13,-9925619,12:00:01 AM,1,0,0,1
24,2/18/2024 13:13,-10131407,12:00:18 AM,18,0,0,18
25,2/18/2024 13:13,-10214345,12:00:07 AM,7,0,0,7
26,2/18/2024 13:13,-10407702,12:00:17 AM,17,0,0,17
27,2/18/2024 13:14,-10488454,12:00:07 AM,7,0,0,7
28,2/18/2024 13:14,-11053712,12:00:46 AM,46,0,0,46
29,2/18/2024 13:14,-11099090,12:00:04 AM,4,0,0,4
30,2/18/2024 13:15,-11147468,12:00:05 AM,5,0,0,5
31,2/18/2024 13:15,-11400105,12:00:21 AM,21,0,0,21
32,2/18/2024 13:15,-11685379,12:00:24 AM,24,0,0,24
33,2/18/2024 13:16,-12426498,12:01:01 AM,1,1,60,61
34,2/18/2024 13:17,-12777087,12:00:29 AM,29,0,0,29
35,2/18/2024 13:19,-14462337,12:02:21 AM,21,2,120,141
36,2/18/2024 13:20,-14900653,12:00:36 AM,36,0,0,36
37,2/18/2024 13:21,-15523827,12:00:50 AM,50,0,0,50
38,2/18/2024 13:21,-16016716,12:00:41 AM,41,0,0,41
39,2/18/2024 13:22,-16451514,12:00:36 AM,36,0,0,36
40,2/18/2024 13:24,-18078906,12:02:12 AM,12,2,120,132
41,2/18/2024 13:24,-18230677,12:00:13 AM,13,0,0,13
42,2/18/2024 13:28,-21012408,12:03:45 AM,45,3,180,225
43,2/18/2024 13:28,-21197816,12:00:15 AM,15,0,0,15
44,2/18/2024 13:28,-21195222,12:00:01 AM,1,0,0,1
45,2/18/2024 13:28,-21308593,12:00:10 AM,10,0,0,10
46,2/18/2024 13:28,-21323227,12:00:02 AM,2,0,0,2
47,2/18/2024 13:29,-21466912,12:00:12 AM,12,0,0,12
48,2/18/2024 13:30,-22308763,12:01:08 AM,8,1,60,68
49,2/18/2024 13:30,-22379737,12:00:07 AM,7,0,0,7
50,2/18/2024 13:31,-22798132,12:00:35 AM,35,0,0,35
51,2/18/2024 13:33,-472747,12:02:23 AM,23,2,120,143
52,2/18/2024 13:33,-713026,12:00:20 AM,20,0,0,20
53,2/18/2024 13:33,-735932,12:00:03 AM,3,0,0,3
54,2/18/2024 13:33,-726330,12:00:00 AM,0,0,0,0
55,2/18/2024 13:34,-1258085,12:00:43 AM,43,0,0,43
56,2/18/2024 13:34,-1612711,12:00:28 AM,28,0,0,28
57,2/18/2024 13:35,-1651021,12:00:04 AM,4,0,0,4
58,2/18/2024 13:37,-3390339,12:02:20 AM,20,2,120,140
59,2/18/2024 13:38,-4040998,12:00:52 AM,52,0,0,52
60,2/18/2024 13:38,-4369304,12:00:27 AM,27,0,0,27
61,2/18/2024 13:39,-4804540,12:00:35 AM,35,0,0,35
62,2/18/2024 13:39,-4821555,12:00:02 AM,2,0,0,2
63,2/18/2024 13:39,-4862104,12:00:04 AM,4,0,0,4
64,2/18/2024 13:40,-5455202,12:00:49 AM,49,0,0,49
65,2/18/2024 13:40,-5450138,12:00:00 AM,0,0,0,0
66,2/18/2024 13:43,-7757992,12:03:04 AM,4,3,180,184
67,2/18/2024 13:43,-8306544,12:00:44 AM,44,0,0,44
68,2/18/2024 13:44,-8331972,12:00:03 AM,3,0,0,3
69,2/18/2024 13:44,-8900638,12:00:46 AM,46,0,0,46
70,2/18/2024 13:45,-9157271,12:00:21 AM,21,0,0,21
71,2/18/2024 13:45,-9156375,12:00:01 AM,1,0,0,1
72,2/18/2024 13:45,-9212112,12:00:05 AM,5,0,0,5
73,2/18/2024 13:45,-9542984,12:00:28 AM,28,0,0,28
74,2/18/2024 13:46,-9905014,12:00:29 AM,29,0,0,29
75,2/18/2024 13:46,-9933464,12:00:03 AM,3,0,0,3
76,2/18/2024 13:46,-9941483,12:00:02 AM,2,0,0,2
77,2/18/2024 13:48,-11495681,12:02:03 AM,3,2,120,123
78,2/18/2024 13:48,-11672997,12:00:15 AM,15,0,0,15
79,2/18/2024 13:48,-11861632,12:00:16 AM,16,0,0,16
80,2/18/2024 13:49,-12643144,12:01:02 AM,2,1,60,62
81,2/18/2024 13:49,-12677317,12:00:04 AM,4,0,0,4
82,2/18/2024 13:50,-12792531,12:00:10 AM,10,0,0,10
83,2/18/2024 13:52,-14263381,12:01:57 AM,57,1,60,117
84,2/18/2024 13:52,-14689416,12:00:34 AM,34,0,0,34
85,2/18/2024 13:52,-14713861,12:00:03 AM,3,0,0,3
86,2/18/2024 13:53,-15170258,12:00:37 AM,37,0,0,37
87,2/18/2024 13:53,-15187317,12:00:02 AM,2,0,0,2
88,2/18/2024 13:53,-15479108,12:00:24 AM,24,0,0,24
89,2/18/2024 13:53,-15488887,12:00:02 AM,2,0,0,2
90,2/18/2024 13:54,-16128581,12:00:51 AM,51,0,0,51
91,2/18/2024 13:55,-16953416,12:01:07 AM,7,1,60,67
92,2/18/2024 13:55,-17024814,12:00:06 AM,6,0,0,6
93,2/18/2024 13:55,-17051886,12:00:03 AM,3,0,0,3
94,2/18/2024 13:57,-18342936,12:01:43 AM,43,1,60,103
95,2/18/2024 13:58,-19141969,12:01:05 AM,5,1,60,65
96,2/18/2024 13:59,-19911796,12:01:02 AM,2,1,60,62
97,2/18/2024 13:59,-19980090,12:00:06 AM,6,0,0,6
98,2/18/2024 14:00,-20210245,12:00:19 AM,19,0,0,19
99,2/18/2024 14:00,-20505804,12:00:24 AM,24,0,0,24
100,2/18/2024 14:03,-22379279,12:02:47 AM,47,2,120,167
101,2/18/2024 14:03,-22689178,12:00:25 AM,25,0,0,25
102,2/18/2024 14:03,-22760075,12:00:07 AM,7,0,0,7
103,2/18/2024 14:04,-23432874,12:00:54 AM,54,0,0,54
104,2/18/2024 14:04,-23439193,12:00:01 AM,1,0,0,1
105,2/18/2024 14:04,-23559324,12:00:11 AM,11,0,0,11
106,2/18/2024 14:07,-25481096,12:02:34 AM,34,2,120,154
107,2/18/2024 14:08,-26278027,12:01:04 AM,4,1,60,64
108,2/18/2024 14:08,-26296946,12:00:02 AM,2,0,0,2
109,2/18/2024 14:08,-26423456,12:00:11 AM,11,0,0,11
110,2/18/2024 14:09,-26731426,12:00:25 AM,25,0,0,25
111,2/18/2024 14:09,-27104935,12:00:31 AM,31,0,0,31
112,2/18/2024 14:10,-27350123,12:00:20 AM,20,0,0,20
113,2/18/2024 14:10,-27381614,12:00:03 AM,3,0,0,3
114,2/18/2024 14:10,-27553007,12:00:14 AM,14,0,0,14
115,2/18/2024 14:10,-27551111,12:00:01 AM,1,0,0,1
116,2/18/2024 14:10,-27673508,12:00:11 AM,11,0,0,11
117,2/18/2024 14:11,-28158338,12:00:39 AM,39,0,0,39
118,2/18/2024 14:11,-28270714,12:00:10 AM,10,0,0,10
119,2/18/2024 14:11,-28272904,12:00:01 AM,1,0,0,1
120,2/18/2024 14:12,-29389775,12:01:29 AM,29,1,60,89
121,2/18/2024 14:13,-29675114,12:00:23 AM,23,0,0,23
122,2/18/2024 14:13,-30129971,12:00:37 AM,37,0,0,37
123,2/18/2024 14:14,-30465923,12:00:28 AM,28,0,0,28
124,2/18/2024 14:14,-30492011,12:00:02 AM,2,0,0,2
125,2/18/2024 14:14,-30698578,12:00:18 AM,18,0,0,18
126,2/18/2024 14:15,-31208670,12:00:41 AM,41,0,0,41
127,2/18/2024 14:15,-31344707,12:00:12 AM,12,0,0,12
128,2/18/2024 14:15,-31664517,12:00:26 AM,26,0,0,26
129,2/18/2024 14:16,-32288862,12:00:50 AM,50,0,0,50
130,2/18/2024 14:19,-34113096,12:02:25 AM,25,2,120,145
131,2/18/2024 14:21,-35499068,12:01:50 AM,50,1,60,110
132,2/18/2024 14:21,-35509946,12:00:02 AM,2,0,0,2
133,2/18/2024 14:21,-35548762,12:00:04 AM,4,0,0,4
134,2/18/2024 14:22,-36502331,12:01:16 AM,16,1,60,76
135,2/18/2024 14:22,-36504750,12:00:01 AM,1,0,0,1
136,2/18/2024 14:22,-36781424,12:00:23 AM,23,0,0,23
137,2/18/2024 14:24,-37828538,12:01:24 AM,24,1,60,84
138,2/18/2024 14:25,-38716495,12:01:11 AM,11,1,60,71
139,2/18/2024 14:26,-39795128,12:01:26 AM,26,1,60,86
140,2/18/2024 14:27,-40501066,12:00:57 AM,57,0,0,57
141,2/18/2024 14:28,-41351337,12:01:08 AM,8,1,60,68
142,2/18/2024 14:29,-41481508,12:00:11 AM,11,0,0,11
143,2/18/2024 14:29,-41481145,12:00:01 AM,1,0,0,1
144,2/18/2024 14:29,-41485015,12:00:01 AM,1,0,0,1
145,2/18/2024 14:29,-41508845,12:00:03 AM,3,0,0,3
146,2/18/2024 14:29,-41620375,12:00:09 AM,9,0,0,9
147,2/18/2024 14:29,-41621820,12:00:01 AM,1,0,0,1
148,2/18/2024 14:30,-42208370,12:00:47 AM,47,0,0,47
149,2/18/2024 14:30,-42304698,12:00:09 AM,9,0,0,9
150,2/18/2024 14:31,-43261395,12:01:17 AM,17,1,60,77
151,2/18/2024 14:32,-43720102,12:00:37 AM,37,0,0,37
152,2/18/2024 14:32,-43937808,12:00:19 AM,19,0,0,19
153,2/18/2024 14:34,-45390564,12:01:55 AM,55,1,60,115
154,2/18/2024 14:35,-46005018,12:00:50 AM,50,0,0,50
155,2/18/2024 14:35,-46137034,12:00:11 AM,11,0,0,11
156,2/18/2024 14:35,-46170130,12:00:04 AM,4,0,0,4
157,2/18/2024 14:36,-46972966,12:01:05 AM,5,1,60,65
158,2/18/2024 14:36,-47138018,12:00:14 AM,14,0,0,14
159,2/18/2024 14:36,-47135655,12:00:00 AM,0,0,0,0
160,2/18/2024 14:37,-47553085,12:00:34 AM,34,0,0,34
161,2/18/2024 14:37,-47711069,12:00:14 AM,14,0,0,14
162,2/18/2024 14:37,-47902277,12:00:16 AM,16,0,0,16
163,2/18/2024 14:37,-47936173,12:00:03 AM,3,0,0,3
164,2/18/2024 14:38,-48404811,12:00:38 AM,38,0,0,38
165,2/18/2024 14:39,-49185746,12:01:05 AM,5,1,60,65
166,2/18/2024 14:39,-49363457,12:00:16 AM,16,0,0,16
167,2/18/2024 14:40,-49442022,12:00:07 AM,7,0,0,7
168,2/18/2024 14:40,-49533330,12:00:09 AM,9,0,0,9
169,2/18/2024 14:40,-49692844,12:00:14 AM,14,0,0,14
170,2/18/2024 14:44,-51389143,12:04:30 AM,30,4,240,270
171,2/18/2024 14:45,-52005298,12:00:51 AM,51,0,0,51
172,2/18/2024 14:46,-52479173,12:00:38 AM,38,0,0,38
173,2/18/2024 14:46,-52905588,12:00:35 AM,35,0,0,35
174,2/18/2024 14:47,-53334245,12:00:34 AM,34,0,0,34
175,2/18/2024 14:47,-53432936,12:00:09 AM,9,0,0,9
176,2/18/2024 14:48,-53740249,12:00:25 AM,25,0,0,25
177,2/18/2024 14:48,-54182782,12:00:36 AM,36,0,0,36
178,2/18/2024 14:49,-54466898,12:00:23 AM,23,0,0,23
179,2/18/2024 14:49,-54783994,12:00:26 AM,26,0,0,26
180,2/18/2024 14:52,-57321490,12:03:22 AM,22,3,180,202
181,2/18/2024 14:52,-57364600,12:00:04 AM,4,0,0,4
182,2/18/2024 14:53,-57444716,12:00:07 AM,7,0,0,7
183,2/18/2024 14:54,-58355031,12:01:15 AM,15,1,60,75
184,2/18/2024 14:54,-58493469,12:00:12 AM,12,0,0,12
185,2/18/2024 14:58,-60628426,12:03:54 AM,54,3,180,234
186,2/18/2024 14:58,-60908836,12:00:24 AM,24,0,0,24
187,2/18/2024 15:02,-63040510,12:03:23 AM,23,3,180,203
188,2/18/2024 15:02,-63263079,12:00:19 AM,19,0,0,19
189,2/18/2024 15:02,-63275011,12:00:02 AM,2,0,0,2
190,2/18/2024 15:04,-64226516,12:01:39 AM,39,1,60,99
191,2/18/2024 15:05,-65189866,12:01:20 AM,20,1,60,80
192,2/18/2024 15:07,-65565944,12:02:22 AM,22,2,120,142
193,2/18/2024 15:12,-66595577,12:04:16 AM,16,4,240,256
194,2/18/2024 15:12,-66678141,12:00:08 AM,8,0,0,8
195,2/18/2024 15:12,-67125140,12:00:36 AM,36,0,0,36
196,2/18/2024 15:13,-67218138,12:00:08 AM,8,0,0,8
197,2/18/2024 15:13,-67264792,12:00:05 AM,5,0,0,5
198,2/18/2024 15:13,-67823226,12:00:45 AM,45,0,0,45
199,2/18/2024 15:13,-67894304,12:00:06 AM,6,0,0,6
200,2/18/2024 15:14,-68131160,12:00:23 AM,23,0,0,23
